endereco,datahora,latitude,longitude
"Rua Sansão Alves dos Santos, 1-57 - Itaim Bibi, São Paulo, 04571-090, República Federativa do Brasil",2013-07-15 20:56:13,"-23,6069398","-46,695499"
"Rua Gonçalves de Mendonça, 350 - Iguatemi, São Paulo, 08380-018, República Federativa do Brasil",2013-07-28 14:21:31,"-23,5980883","-46,4400459"
"Rua Tasselli Ugo, 110 - Rio Pequeno, São Paulo, 05387-000, República Federativa do Brasil",2013-09-02 12:29:56,"-23,5679788","-46,7637504"
"Rua Nicolau Gagliardi, 357-393 - Pinheiros, São Paulo, 05429-010, República Federativa do Brasil",2013-09-05 15:05:06,"-23,5619098","-46,7002898"
"Rua Nicolau Gagliardi, 357-393 - Pinheiros, São Paulo, 05429-010, República Federativa do Brasil",2013-09-05 15:05:06,"-23,5619098","-46,7002898"
"Rua Dona Ana Helena de Sales Gusmão, 51-105 - Pinheiros, São Paulo, 01457-040, República Federativa do Brasil",2013-09-09 13:08:07,"-23,5746021","-46,6938787"
"Avenida Cda. Elisabeth de Robiano - Penha, São Paulo, 03077-005, República Federativa do Brasil",2013-09-10 08:51:58,"-23,5277817","-46,5801483"
"Rua Matias Valadão, 51 - Pinheiros, São Paulo, 01451-030, República Federativa do Brasil",2013-09-10 16:57:12,"-23,5691768","-46,6926429"
"Rua Ângelo de Lucia, 2-102 - Santo Amaro, São Paulo, 04756-125, República Federativa do Brasil",2013-09-12 14:45:57,"-23,644969","-46,7167243"
"Rua Ângelo de Lucia, 2-102 - Santo Amaro, São Paulo, 04756-125, República Federativa do Brasil",2013-09-12 14:45:57,"-23,644969","-46,7167243"
"Avenida República do Líbano, 241 - Moema, São Paulo, República Federativa do Brasil",2013-09-13 15:42:39,"-23,5812273","-46,6633677"
"Rua Geraldo Flausino Gomes, 61-137 - Itaim Bibi, São Paulo, 04575-060, República Federativa do Brasil",2013-09-16 10:11:37,"-23,6078789","-46,6948684"
"Alameda dos Aicás, 1617-1651 - Moema, São Paulo, 04086-003, República Federativa do Brasil",2013-09-16 10:49:50,"-23,6156595","-46,6643433"
"Alameda dos Aicás, 1617-1651 - Moema, São Paulo, 04086-003, República Federativa do Brasil",2013-09-16 10:50:19,"-23,6156595","-46,6643433"
"Passarela do Samba Adoniran Barbosa - Santana, São Paulo, República Federativa do Brasil",2013-09-23 16:21:32,"-23,5144213","-46,6387785"
"Rua Ministro Ferreira Alves, 814-942 - Perdizes, São Paulo, 05009-060, República Federativa do Brasil",2013-09-25 00:48:01,"-23,5285098","-46,6873937"
"Avenida Europa, 459 - Pinheiros, São Paulo, 01449-000, República Federativa do Brasil",2013-10-08 10:36:51,"-23,5750855","-46,6776845"
